City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
0,Punta Arenas,CL,-53.15,-70.92,39.2,86,100,3.36,overcast clouds,0.0,0.0
1,Kapaa,US,22.08,-159.32,78.8,74,75,16.11,broken clouds,0.0,0.0
2,Sambava,MG,-14.27,50.17,73.13,77,1,14.18,clear sky,0.0,0.0
3,Casas Grandes,MX,30.37,-107.95,69.44,24,3,8.75,clear sky,0.0,0.0
4,Agdam,AZ,39.99,46.93,66.56,63,9,3.36,clear sky,0.0,0.0
5,Dingle,PH,11.0,122.67,91.69,53,97,9.33,overcast clouds,0.0,0.0
6,Mahebourg,MU,-20.41,57.7,73.4,83,75,10.29,shower rain,0.0,0.0
7,Krasnovishersk,RU,60.41,57.08,51.69,52,100,6.53,overcast clouds,0.0,0.0
8,Paita,PE,-5.09,-81.11,69.62,83,89,12.12,overcast clouds,0.0,0.0
9,Tuktoyaktuk,CA,69.45,-133.04,33.8,74,40,20.8,scattered clouds,0.0,0.0
10,Puerto Ayora,EC,-0.74,-90.35,73.99,93,44,7.9,scattered clouds,0.0,0.0
11,Rikitea,PF,-23.12,-134.97,76.05,82,31,9.8,scattered clouds,0.0,0.0
12,Port Alfred,ZA,-33.59,26.89,59.0,69,17,4.0,few clouds,0.0,0.0
13,Busselton,AU,-33.65,115.33,66.0,45,95,3.96,overcast clouds,0.0,0.0
14,Bitung,ID,1.45,125.18,91.4,55,40,11.41,scattered clouds,0.0,0.0
15,Geraldton,AU,-28.77,114.6,69.8,60,81,10.29,broken clouds,0.0,0.0
16,Yuzhnyy,RU,53.25,83.69,66.2,55,100,6.71,overcast clouds,0.0,0.0
17,Ushuaia,AR,-54.8,-68.3,37.4,93,94,10.29,overcast clouds,0.0,0.0
18,Albany,US,42.6,-73.97,51.01,83,3,5.95,clear sky,0.0,0.0
19,Atuona,PF,-9.8,-139.03,80.74,78,0,15.77,clear sky,0.0,0.0
20,Flin Flon,CA,54.77,-101.86,62.19,47,91,14.52,overcast clouds,0.0,0.0
21,Arraial Do Cabo,BR,-22.97,-42.03,70.23,74,43,9.1,scattered clouds,0.0,0.0
22,Lazaro Cardenas,MX,17.96,-102.2,73.76,87,6,5.21,clear sky,0.0,0.0
23,Lebu,CL,-37.62,-73.65,48.02,83,0,13.85,clear sky,0.0,0.0
24,Katsuura,JP,35.13,140.3,71.01,94,75,3.36,light rain,0.0,0.0
25,Hualmay,PE,-11.1,-77.61,65.59,86,54,8.77,broken clouds,0.0,0.0
26,Muniz Freire,BR,-20.46,-41.41,57.18,89,45,4.05,scattered clouds,0.0,0.0
27,Tessalit,ML,20.2,1.01,90.54,18,60,8.19,broken clouds,0.0,0.0
28,Los Llanos De Aridane,ES,28.66,-17.92,66.2,72,16,3.36,few clouds,0.0,0.0
29,Saint-Philippe,RE,-21.36,55.77,69.8,56,18,10.29,few clouds,0.0,0.0
30,Mataura,NZ,-46.19,168.86,47.8,66,0,2.44,clear sky,0.0,0.0
31,Swakopmund,NA,-22.68,14.53,69.8,21,0,3.36,clear sky,0.0,0.0
32,Cockburn Town,TC,21.46,-71.14,81.23,81,18,13.6,few clouds,0.0,0.0
33,Jega,NG,12.22,4.38,86.97,53,87,10.98,overcast clouds,0.0,0.0
34,Bluff,NZ,-46.6,168.33,49.3,62,1,3.38,clear sky,0.0,0.0
35,Hermanus,ZA,-34.42,19.23,53.01,99,0,1.01,clear sky,0.0,0.0
36,San Andres,CO,12.58,-81.7,83.08,78,91,9.01,overcast clouds,0.0,0.0
37,Hilo,US,19.73,-155.09,82.4,54,1,5.82,clear sky,0.0,0.0
38,Isla Mujeres,MX,21.23,-86.73,82.99,100,90,3.36,overcast clouds,0.0,0.0
39,Deputatskiy,RU,69.3,139.9,48.38,45,80,8.97,broken clouds,0.0,0.0
40,Northam,GB,51.03,-4.22,54.0,74,0,1.99,clear sky,0.0,0.0
41,Coihaique,CL,-45.58,-72.07,39.2,93,20,5.82,few clouds,0.0,0.0
