City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Kapaa,US,78.8,broken clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
2,Sambava,MG,73.13,clear sky,-14.27,50.17,Melrose
3,Casas Grandes,MX,69.44,clear sky,30.37,-107.95,PUEBLO DEL SOuL
6,Mahebourg,MU,73.4,shower rain,-20.41,57.7,Shandrani Beachcomber Resort & Spa
8,Paita,PE,69.62,overcast clouds,-5.09,-81.11,Hotel Náutico de Paita
10,Puerto Ayora,EC,73.99,scattered clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
11,Rikitea,PF,76.05,scattered clouds,-23.12,-134.97,Pension Maro'i
13,Busselton,AU,66.0,overcast clouds,-33.65,115.33,Observatory Guest House
15,Geraldton,AU,69.8,broken clouds,-28.77,114.6,Broadwater Mariner Resort
16,Yuzhnyy,RU,66.2,overcast clouds,53.25,83.69,Golden Horseshoe
19,Atuona,PF,80.74,clear sky,-9.8,-139.03,Villa Enata
20,Flin Flon,CA,62.19,overcast clouds,54.77,-101.86,Victoria Inn Flin Flon
21,Arraial Do Cabo,BR,70.23,scattered clouds,-22.97,-42.03,Pousada Porto Praia
22,Lazaro Cardenas,MX,73.76,clear sky,17.96,-102.2,Hotel Quinta Antigua
24,Katsuura,JP,71.01,light rain,35.13,140.3,Katsuura Hotel Mikazuki
25,Hualmay,PE,65.59,broken clouds,-11.1,-77.61,Hotel Restaurant Turístico Casablanca
28,Los Llanos De Aridane,ES,66.2,few clouds,28.66,-17.92,Valle Aridane
29,Saint-Philippe,RE,69.8,few clouds,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
31,Swakopmund,,69.8,clear sky,-22.68,14.53,Hotel Deutsches Haus Swakopmund
32,Cockburn Town,TC,81.23,few clouds,21.46,-71.14,Osprey Beach Hotel
33,Jega,NG,86.97,overcast clouds,12.22,4.38,Jega Guest Inn
36,San Andres,CO,83.08,overcast clouds,12.58,-81.7,Hotel Arena Blanca
37,Hilo,US,82.4,clear sky,19.73,-155.09,Hilo Hawaiian Hotel
38,Isla Mujeres,MX,82.99,overcast clouds,21.23,-86.73,Hotel La Joya Isla Mujeres
42,New Norfolk,AU,61.0,few clouds,-42.78,147.06,The Shingles Riverside Cottages
43,Nouadhibou,MR,66.2,mist,20.93,-17.03,El Medina
44,Laguna,US,72.0,clear sky,38.42,-121.42,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
46,Yeppoon,AU,80.6,scattered clouds,-23.13,150.73,Villa Mar Colina
48,Saint George,US,86.0,clear sky,37.1,-113.58,Best Western Plus Abbey Inn
50,Callaway,US,78.8,clear sky,30.15,-85.57,Holiday Inn Express & Suites Panama City-Tyndall
51,Bengkulu,ID,86.59,broken clouds,-3.8,102.27,Grage Hotel Bengkulu
53,Lagoa,PT,61.12,overcast clouds,39.05,-27.98,Casa Das Faias
54,Hobart,AU,61.0,few clouds,-42.88,147.33,St Ives Apartments
55,Yulara,AU,66.2,clear sky,-25.24,130.99,Desert Gardens Hotel - Ayers Rock Resort
57,Mataram,ID,87.8,broken clouds,-8.58,116.12,Lombok Garden Hotel
