City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Margate,GB,2020-05-28 05:01:29,51.38,1.39,55.99,73,37,5.01
1,Sao Filipe,CV,2020-05-28 05:01:29,14.9,-24.5,74.37,71,0,9.4
2,Tuatapere,NZ,2020-05-28 05:01:29,-46.13,167.68,48.74,87,11,2.84
3,Sao Joao Da Barra,BR,2020-05-28 05:01:29,-21.64,-41.05,63.43,78,0,15.17
4,Bjornevatn,NO,2020-05-28 04:58:05,69.67,29.98,44.6,81,100,2.24
5,Ouidah,BJ,2020-05-28 05:01:30,6.36,2.09,82.4,83,40,10.29
6,Albany,US,2020-05-28 04:57:26,42.6,-73.97,73.0,86,100,3.8
7,Pangnirtung,CA,2020-05-28 05:01:30,66.15,-65.71,15.04,91,15,2.13
8,Saint George,US,2020-05-28 04:58:26,37.1,-113.58,88.0,14,1,5.82
9,Masallatah,LY,2020-05-28 05:01:30,32.62,14.0,62.51,77,0,5.57
10,Ushuaia,AR,2020-05-28 05:01:01,-54.8,-68.3,41.0,65,40,25.28
11,Airai,TL,2020-05-28 05:01:31,-8.93,125.41,74.12,75,4,2.64
12,Kavaratti,IN,2020-05-28 05:01:31,10.57,72.64,89.6,70,40,6.93
13,Tulle,FR,2020-05-28 05:01:31,45.33,1.83,53.01,83,0,3.58
14,Dire,ML,2020-05-28 05:01:31,12.28,-10.97,81.23,55,60,1.61
15,Port Alfred,ZA,2020-05-28 05:01:31,-33.59,26.89,59.0,47,40,11.01
16,Kapaa,US,2020-05-28 05:01:31,22.08,-159.32,77.0,83,90,9.17
17,Weymouth,US,2020-05-28 05:01:32,42.22,-70.94,66.2,88,75,11.41
18,Ponta Do Sol,PT,2020-05-28 05:01:32,32.67,-17.1,62.6,77,20,2.24
19,Saskylakh,RU,2020-05-28 05:01:32,71.92,114.08,34.9,83,94,15.7
20,Mitsamiouli,KM,2020-05-28 05:01:32,-11.38,43.28,79.79,70,30,8.99
21,Khatanga,RU,2020-05-28 05:01:33,71.97,102.5,36.82,72,100,13.0
22,Henties Bay,NA,2020-05-28 05:01:33,-22.12,14.28,52.0,94,0,3.0
23,Atuona,PF,2020-05-28 05:01:33,-9.8,-139.03,81.1,75,5,11.68
24,Dikson,RU,2020-05-28 05:01:33,73.51,80.55,33.1,98,100,9.01
